text,app_name,date,rating,finbert_positive,finbert_negative,finbert_neutral,sentiment_score,topic
My account was frozen for no reason! - This is for my PayPal account.,PayPal,2025-10-28 18:12:15,2,0.024290034547448158,0.17279832065105438,0.802911639213562,-0.14850828610360622,4
The app is buggy and crashes all the time. - This is for my Venmo account.,Venmo,2025-11-09 04:12:15,1,0.021499736234545708,0.2935199737548828,0.6849803328514099,-0.2720202375203371,3
The best app for sending money to friends. - This is for my PayPal account.,PayPal,2025-09-17 19:12:15,5,0.03255083039402962,0.024475540965795517,0.9429736733436584,0.0080752894282341,2
My bank already has this built in. - This is for my Zelle account.,Zelle,2025-01-14 12:12:15,3,0.03414956107735634,0.025274038314819336,0.940576434135437,0.008875522762537003,4
The fees are getting ridiculous. - This is for my PayPal account.,PayPal,2025-07-07 09:12:15,2,0.028157761320471764,0.08246686309576035,0.8893753886222839,-0.05430910177528858,2
The new interface is clean and modern. - This is for my Zelle account.,Zelle,2024-11-16 20:12:15,4,0.07634054124355316,0.011792059056460857,0.9118673801422119,0.0645484821870923,4
So fast and easy to use! Love it. - This is for my Zelle account.,Zelle,2025-03-08 18:12:15,4,0.041808146983385086,0.020316042006015778,0.9378758072853088,0.02149210497736931,1
"Terrible customer service, they just read from a script. - This is for my Venmo account.",Venmo,2025-10-06 23:12:15,1,0.027298126369714737,0.16676679253578186,0.8059351444244385,-0.13946866616606712,1
"Never had an issue, works perfectly. - This is for my Venmo account.",Venmo,2025-01-02 19:12:15,5,0.03892003372311592,0.021181458607316017,0.9398984909057617,0.017738575115799904,0
I got scammed and they won't help me. - This is for my Zelle account.,Zelle,2025-03-21 11:12:15,2,0.031370218843221664,0.12644720077514648,0.8421825170516968,-0.09507698193192482,3
The verification process was annoying. - This is for my Zelle account.,Zelle,2025-08-31 05:12:15,3,0.02775239199399948,0.39381906390190125,0.5784285664558411,-0.36606667190790176,0
"It works, but the fees are a bit high. - This is for my Zelle account.",Zelle,2025-04-22 08:12:15,3,0.03491752967238426,0.04365692287683487,0.9214255213737488,-0.008739393204450607,2
The best app for sending money to friends. - This is for my Venmo account.,Venmo,2025-08-04 11:12:15,5,0.03436891362071037,0.023180196061730385,0.9424508213996887,0.011188717558979988,2
I got scammed and they won't help me. - This is for my Venmo account.,Venmo,2025-07-07 10:12:15,2,0.030657339841127396,0.15738627314567566,0.8119564056396484,-0.12672893330454826,3
So fast and easy to use! Love it. - This is for my Zelle account.,Zelle,2025-01-27 19:12:15,5,0.041808146983385086,0.020316042006015778,0.9378758072853088,0.02149210497736931,1
My transfer has been pending for 3 days! - This is for my PayPal account.,PayPal,2025-05-10 16:12:15,2,0.023724950850009918,0.07696814835071564,0.8993068933486938,-0.05324319750070572,3
So fast and easy to use! Love it. - This is for my Venmo account.,Venmo,2025-06-23 05:12:15,4,0.04897480085492134,0.017892062664031982,0.9331331849098206,0.03108273819088936,1
The fees are getting ridiculous. - This is for my Zelle account.,Zelle,2025-05-19 16:12:15,1,0.02981545962393284,0.06971234828233719,0.9004721641540527,-0.03989688865840435,2
My transfer has been pending for 3 days! - This is for my Zelle account.,Zelle,2025-04-23 17:12:15,1,0.02492520771920681,0.06387791037559509,0.9111968874931335,-0.03895270265638828,3
It's just an average payment app. - This is for my PayPal account.,PayPal,2025-08-03 18:12:15,3,0.02582731656730175,0.04035309702157974,0.933819591999054,-0.014525780454277992,1
